      -3.142        -3.142        10.000
      -3.142        -3.072        16.225
      -3.142        -3.002        16.225
      -3.142        -2.932        15.309
      -3.142        -2.862        15.532
      -3.142        -2.793        10.000
      -3.142        -2.723        16.918
      -3.142        -2.653        10.000
      -3.142        -2.583        16.918
      -3.142        -2.513        16.225
      -3.142        -2.443        10.000
      -3.142        -2.374        10.000
      -3.142        -2.304        16.918
      -3.142        -2.234        16.918
      -3.142        -2.164        16.918
      -3.142        -2.094        15.819
      -3.142        -2.025        16.225
      -3.142        -1.955        16.918
      -3.142        -1.885        15.819
      -3.142        -1.815        10.000
      -3.142        -1.745        16.918
      -3.142        -1.676        16.918
      -3.142        -1.606        16.225
      -3.142        -1.536        16.225
      -3.142        -1.466        10.000
      -3.142        -1.396        16.225
      -3.142        -1.326        16.918
      -3.142        -1.257        16.918
      -3.142        -1.187        16.918
      -3.142        -1.117        10.000
      -3.142        -1.047        10.000
      -3.142        -0.977        10.000
      -3.142        -0.908        16.918
      -3.142        -0.838        15.532
      -3.142        -0.768        14.433
      -3.142        -0.698        14.721
      -3.142        -0.628        14.210
      -3.142        -0.559        14.028
      -3.142        -0.489        14.085
      -3.142        -0.419        14.433
      -3.142        -0.349        14.146
      -3.142        -0.279        15.126
      -3.142        -0.209        15.309
      -3.142        -0.140        15.532
      -3.142        -0.070        15.309
      -3.142         0.000        16.918
      -3.142         0.070        10.000
      -3.142         0.140        15.532
      -3.142         0.209        15.819
      -3.142         0.279        16.918
      -3.142         0.349        10.000
      -3.142         0.419        10.000
      -3.142         0.489        16.918
      -3.142         0.559        16.225
      -3.142         0.628        16.918
      -3.142         0.698        16.225
      -3.142         0.768        10.000
      -3.142         0.838        15.819
      -3.142         0.908        15.819
      -3.142         0.977        16.225
      -3.142         1.047        16.918
      -3.142         1.117        16.918
      -3.142         1.187        16.918
      -3.142         1.257        16.225
      -3.142         1.326        15.819
      -3.142         1.396        10.000
      -3.142         1.466        10.000
      -3.142         1.536        10.000
      -3.142         1.606        16.225
      -3.142         1.676        15.819
      -3.142         1.745        15.532
      -3.142         1.815        16.918
      -3.142         1.885        16.225
      -3.142         1.955        14.972
      -3.142         2.025        14.210
      -3.142         2.094        14.839
      -3.142         2.164        14.520
      -3.142         2.234        13.660
      -3.142         2.304        14.085
      -3.142         2.374        13.660
      -3.142         2.443        13.922
      -3.142         2.513        13.874
      -3.142         2.583        13.783
      -3.142         2.653        13.740
      -3.142         2.723        14.839
      -3.142         2.793        14.353
      -3.142         2.862        14.972
      -3.142         2.932        14.616
      -3.142         3.002        15.532
